time_s,mcu_tick_ms,adc,target,integral,error,kp,ki,output_x100,duty
38.343392848968506,37859,2333,2400,3590,67,0.01,0.002,5785,58
38.45339107513428,37969,2337,2400,3596,63,0.01,0.002,5782,58
38.56345725059509,38079,2333,2400,3603,67,0.01,0.002,5788,58
38.673455238342285,38189,2336,2400,3609,64,0.01,0.002,5786,58
38.78357696533203,38299,2356,2400,3614,44,0.01,0.002,5767,58
38.893574953079224,38409,2349,2400,3619,51,0.01,0.002,5775,58
39.003599643707275,38519,2329,2400,3626,71,0.01,0.002,5796,58
39.11359524726868,38629,2343,2400,3632,57,0.01,0.002,5783,58
39.223594427108765,38739,2336,2400,3638,64,0.01,0.002,5792,58
39.33363223075867,38849,2355,2400,3643,45,0.01,0.002,5774,58
39.44363021850586,38959,2346,2400,3648,54,0.01,0.002,5784,58
39.55362820625305,39069,2333,2400,3655,67,0.01,0.002,5798,58
39.66389322280884,39179,2342,2400,3661,58,0.01,0.002,5790,58
39.77423715591431,39289,2356,2400,3665,44,0.01,0.002,5777,58
39.884235858917236,39399,2333,2400,3672,67,0.01,0.002,5801,58
39.99423408508301,39509,2340,2400,3678,60,0.01,0.002,5796,58
40.104231119155884,39619,2343,2400,3683,57,0.01,0.002,5794,58
40.2142288684845,39729,2339,2400,3689,61,0.01,0.002,5799,58
40.32422709465027,39839,2343,2400,3695,57,0.01,0.002,5796,58
40.43426203727722,39949,2342,2400,3701,58,0.01,0.002,5798,58
40.544299602508545,40059,2341,2400,3707,59,0.01,0.002,5800,58
40.654297828674316,40169,2361,2400,3711,39,0.01,0.002,5781,58
40.76429581642151,40279,2334,2400,3717,66,0.01,0.002,5810,58
40.87429404258728,40389,2345,2400,3723,55,0.01,0.002,5800,58
40.984291553497314,40499,2361,2400,3727,39,0.01,0.002,5784,58
41.094292402267456,40609,2334,2400,3733,66,0.01,0.002,5813,58
41.20431089401245,40719,2346,2400,3739,54,0.01,0.002,5802,58
41.31453251838684,40829,2361,2400,3743,39,0.01,0.002,5788,58
41.4249062538147,40939,2337,2400,3749,63,0.01,0.002,5813,58
41.53490400314331,41049,2345,2400,3754,55,0.01,0.002,5806,58
41.64492654800415,41159,2364,2400,3758,36,0.01,0.002,5788,58
41.75492334365845,41269,2358,2400,3762,42,0.01,0.002,5795,58
41.86492133140564,41379,2337,2400,3769,63,0.01,0.002,5817,58
41.974955558776855,41489,2347,2400,3774,53,0.01,0.002,5808,58
42.08495283126831,41599,2346,2400,3779,54,0.01,0.002,5810,58
42.194950103759766,41709,2346,2400,3785,54,0.01,0.002,5811,58
42.30498194694519,41819,2346,2400,3790,54,0.01,0.002,5812,58
42.414979696273804,41929,2365,2400,3794,35,0.01,0.002,5794,58
42.524977684020996,42039,2338,2400,3800,62,0.01,0.002,5822,58
42.6349937915802,42149,2349,2400,3805,51,0.01,0.002,5812,58
42.74499177932739,42259,2365,2400,3808,35,0.01,0.002,5797,58
42.854989767074585,42369,2340,2400,3814,60,0.01,0.002,5823,58
42.96531343460083,42479,2350,2400,3819,50,0.01,0.002,5814,58
43.074825048446655,42589,2364,2400,3823,36,0.01,0.002,5801,58
43.18582344055176,42699,2341,2400,3829,59,0.01,0.002,5825,58
43.29582095146179,42809,2350,2400,3834,50,0.01,0.002,5817,58
43.40532898902893,42919,2367,2400,3837,33,0.01,0.002,5801,58
43.51532697677612,43029,2361,2400,3841,39,0.01,0.002,5807,58
